Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J56,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,124.775392,-119.155941,0.0,top
J57,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,154.750392,-112.905941,180.0,top
J58,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,188.800392,-94.655941,0.0,top
J59,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,188.800392,-106.580941,0.0,top
J60,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,130.23,-40.9,0.0,top
J61,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,188.700392,-119.180941,0.0,top
J62,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,188.800392,-131.580941,0.0,top
J63,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,160.71,-40.9,0.0,top
J64,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,155.63,-40.9,0.0,top
J65,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,135.43,-40.9,0.0,top
J66,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,140.39,-40.9,0.0,top
J67,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,145.47,-40.9,0.0,top
J68,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,150.55,-40.9,0.0,top
J75,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,135.4582,-88.6206,0.0,top
J76,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,140.3858,-88.6206,0.0,top
J77,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,145.4912,-88.6206,0.0,top
J78,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,150.5712,-88.6206,0.0,top
J89,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,114.990392,-136.605941,0.0,top
J90,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,120.070392,-136.605941,0.0,top
J91,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,125.150392,-136.605941,0.0,top
J92,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,130.230392,-136.605941,0.0,top
J93,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,155.630392,-136.605941,0.0,top
J94,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,160.710392,-136.605941,0.0,top
J95,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,135.430392,-136.605941,0.0,top
J96,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,140.390392,-136.605941,0.0,top
J97,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,145.470392,-136.605941,0.0,top
J98,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,150.550392,-136.605941,0.0,top
LED1,XL-5050RGBC-WS2812B,LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC,133.775,-45.6,-90.0,top
LED2,XL-5050RGBC-WS2812B,LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC,133.75,-57.475,-90.0,top
LED3,XL-5050RGBC-WS2812B,LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC,133.65,-69.975,-90.0,top
LED4,XL-5050RGBC-WS2812B,LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC,133.65,-82.475,-90.0,top
LED5,XL-5050RGBC-WS2812B,LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC,165.85,-45.575,-90.0,top
LED6,XL-5050RGBC-WS2812B,LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC,165.85,-57.55,-90.0,top
LED7,XL-5050RGBC-WS2812B,LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC,165.95,-70.025,-90.0,top
LED8,XL-5050RGBC-WS2812B,LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC,165.95,-82.525,-90.0,top
LED9,XL-5050RGBC-WS2812B,LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC,197.8,-45.5,-90.0,top
LED10,XL-5050RGBC-WS2812B,LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC,197.8,-57.425,-90.0,top
LED11,XL-5050RGBC-WS2812B,LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC,197.8,-69.95,-90.0,top
LED12,XL-5050RGBC-WS2812B,LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC,197.8,-82.475,-90.0,top
LED13,XL-5050RGBC-WS2812B,LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC,133.775392,-94.755941,-90.0,top
LED14,XL-5050RGBC-WS2812B,LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC,133.750392,-106.630941,-90.0,top
LED15,XL-5050RGBC-WS2812B,LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC,133.650392,-119.130941,-90.0,top
LED16,XL-5050RGBC-WS2812B,LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC,133.650392,-131.630941,-90.0,top
LED17,XL-5050RGBC-WS2812B,LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC,165.850392,-94.730941,-90.0,top
LED18,XL-5050RGBC-WS2812B,LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC,165.850392,-106.705941,-90.0,top
LED19,XL-5050RGBC-WS2812B,LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC,165.950392,-119.180941,-90.0,top
LED20,XL-5050RGBC-WS2812B,LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC,165.950392,-131.680941,-90.0,top
LED21,XL-5050RGBC-WS2812B,LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC,197.800392,-94.655941,-90.0,top
LED22,XL-5050RGBC-WS2812B,LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC,197.800392,-106.580941,-90.0,top
LED23,XL-5050RGBC-WS2812B,LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC,197.800392,-119.105941,-90.0,top
LED24,XL-5050RGBC-WS2812B,LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC,197.800392,-131.630941,-90.0,top
R1,10k,R_0402_1005Metric,152.35,-45.525,180.0,top
R2,10k,R_0402_1005Metric,152.35,-57.5,180.0,top
R3,10k,R_0402_1005Metric,152.35,-69.975,180.0,top
R4,0 ohm,R_0402_1005Metric,140.0,-56.25,0.0,top
R5,0 ohm,R_0402_1005Metric,140.0,-59.25,0.0,top
R6,10k,R_0402_1005Metric,152.35,-82.475,180.0,top
R7,DNP,R_0402_1005Metric,140.0,-65.25,0.0,top
R8,10k,R_0402_1005Metric,140.0,-62.25,0.0,top
R9,10k,R_0402_1005Metric,120.3,-45.575,180.0,top
R10,10k,R_0402_1005Metric,120.275,-57.5,180.0,top
R11,10k,R_0402_1005Metric,120.275,-70.0,180.0,top
R12,0 ohm,R_0402_1005Metric,140.0,-68.25,0.0,top
R13,10k,R_0402_1005Metric,120.275,-82.5,180.0,top
R14,0 ohm,R_0402_1005Metric,140.0,-71.25,0.0,top
R15,10k,R_0402_1005Metric,184.3,-45.5,180.0,top
R16,10k,R_0402_1005Metric,146.75,-68.58,-90.0,top
R17,10k,R_0402_1005Metric,184.3,-57.425,180.0,top
R18,10k,R_0402_1005Metric,184.3,-69.925,180.0,top
R19,10k,R_0402_1005Metric,184.3,-82.425,180.0,top
R20,0 ohm,R_0402_1005Metric,139.446,-47.498,90.0,top
R21,0 ohm,R_0402_1005Metric,142.748,-47.498,90.0,top
R22,0 ohm,R_0402_1005Metric,145.034,-47.498,90.0,top
R23,0 ohm,R_0402_1005Metric,148.082,-47.498,90.0,top
R24,10k,R_0402_1005Metric,152.350392,-94.680941,180.0,top
R25,10k,R_0402_1005Metric,152.350392,-106.655941,180.0,top
R26,0 ohm,R_0402_1005Metric,139.446392,-96.653941,90.0,top
R27,0 ohm,R_0402_1005Metric,142.748392,-96.653941,90.0,top
R28,10k,R_0402_1005Metric,152.350392,-119.130941,180.0,top
R29,0 ohm,R_0402_1005Metric,145.034392,-96.653941,90.0,top
R30,0 ohm,R_0402_1005Metric,148.082392,-96.653941,90.0,top
R31,10k,R_0402_1005Metric,152.350392,-131.630941,180.0,top
R32,DNP,R_0402_1005Metric,140.000392,-114.405941,0.0,top
R33,10k,R_0402_1005Metric,140.000392,-111.405941,0.0,top
R34,10k,R_0402_1005Metric,120.300392,-94.730941,180.0,top
R35,10k,R_0402_1005Metric,120.275392,-106.655941,180.0,top
R36,10k,R_0402_1005Metric,120.275392,-119.155941,180.0,top
R37,10k,R_0402_1005Metric,120.275392,-131.655941,180.0,top
R38,10k,R_0402_1005Metric,184.300392,-94.655941,180.0,top
R39,10k,R_0402_1005Metric,146.750392,-117.735941,-90.0,top
R40,10k,R_0402_1005Metric,184.300392,-106.580941,180.0,top
R41,0 ohm,R_0402_1005Metric,140.000392,-105.405941,0.0,top
R42,0 ohm,R_0402_1005Metric,140.000392,-108.405941,0.0,top
R43,0 ohm,R_0402_1005Metric,140.000392,-117.405941,0.0,top
R44,0 ohm,R_0402_1005Metric,140.000392,-120.405941,0.0,top
R45,10k,R_0402_1005Metric,184.300392,-119.080941,180.0,top
R46,10k,R_0402_1005Metric,184.300392,-131.580941,180.0,top
SW1,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,156.8,-45.575,0.0,top
SW2,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,156.8,-57.5,0.0,top
SW3,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,156.8,-69.975,0.0,top
SW4,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,156.8,-82.475,0.0,top
SW5,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,124.8,-45.575,0.0,top
SW6,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,124.775,-57.5,0.0,top
SW7,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,124.775,-70.0,0.0,top
SW8,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,124.775,-82.5,0.0,top
SW9,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,188.8,-45.5,0.0,top
SW10,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,188.8,-57.425,0.0,top
SW11,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,188.8,-69.925,0.0,top
SW12,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,188.8,-82.425,0.0,top
SW13,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,156.800392,-94.730941,0.0,top
SW14,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,156.800392,-106.655941,0.0,top
SW15,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,156.800392,-119.130941,0.0,top
SW16,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,156.800392,-131.630941,0.0,top
SW17,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,124.800392,-94.730941,0.0,top
SW18,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,124.775392,-106.655941,0.0,top
SW19,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,124.775392,-119.155941,0.0,top
SW20,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,124.775392,-131.655941,0.0,top
SW21,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,188.800392,-94.655941,0.0,top
SW22,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,188.800392,-106.580941,0.0,top
SW23,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,188.800392,-119.080941,0.0,top
SW24,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,188.800392,-131.580941,0.0,top
U1,PY32F002AF15P6TU,TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,146.62,-63.9525,-90.0,top
U2,PY32F002AF15P6TU,TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,146.620392,-113.108441,-90.0,top
